2025-08-06T22:19:58.305+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:19:58.305+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:19:58.305+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:20:03.306+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-06T22:20:03.306+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-06T22:20:03.306+0800	ERROR	runtime/asm_amd64.s:1700	请求 Syncthing 事件失败	{"error": "Get \"http://127.0.0.1:8384/rest/events?since=0&timeout=30\": dial tcp 127.0.0.1:8384: connectex: No connection could be made because the target machine actively refused it.", "url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-07T14:24:41.312+0800	INFO	runtime/asm_amd64.s:1700	zap + lumberjack 日志系统初始化完成
2025-08-07T14:24:41.324+0800	INFO	runtime/asm_amd64.s:1700	启动后端主动轮询 Syncthing 事件并同步数据库
2025-08-07T14:24:41.330+0800	DEBUG	runtime/asm_amd64.s:1700	准备请求 Syncthing 事件	{"lastEventID": 0}
2025-08-07T14:24:41.330+0800	DEBUG	runtime/asm_amd64.s:1700	开始请求 Syncthing 事件	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-07T14:24:41.331+0800	DEBUG	runtime/asm_amd64.s:1700	成功连接 Syncthing 事件接口	{"url": "http://127.0.0.1:8384/rest/events?since=0&timeout=30"}
2025-08-07T14:24:41.332+0800	DEBUG	runtime/asm_amd64.s:1700	成功读取事件响应	{"bodyLen": 27631}
2025-08-07T14:24:41.333+0800	DEBUG	runtime/asm_amd64.s:1700	成功解析事件数组	{"eventCount": 48}
2025-08-07T14:24:41.339+0800	INFO	runtime/asm_amd64.s:1700	同步设备(DeviceDiscovered)	{"deviceId": "TORCHXX-TFQ3PVU-7TPWPDP-HBGVKUC-CNHI43Z-XTUQCI2-5HC7UIJ-5NDEDAP", "lanIp": "192.168.2.33"}
2025-08-07T14:24:41.468+0800	INFO	runtime/asm_amd64.s:1700	同步设备(DeviceDiscovered)	{"deviceId": "7FT7LXN-BQVJTDO-XV4YWBH-BDN7VFE-ONUIGYR-4FYAOOT-A3Q5PQN-ELW7OQW", "lanIp": "192.168.2.24"}
